team,red,green,blue,percentage
"ROI_(326, 558).png",125,118,84
"ROI_(719, 577).png",111,121,106
"ROI_(893, 668).png",79,88,82
"ROI_(458, 601).png",149,163,123
"ROI_(229, 667).png",155,169,133
"ROI_(657, 666).png",132,143,110
"ROI_(1244, 750).png",38,47,53
"ROI_(642, 485).png",53,58,55
"ROI_(894, 500).png",99,108,89
"ROI_(505, 616).png",164,178,150
"ROI_(627, 432).png",46,52,58
"ROI_(269, 779).png",95,100,82
"ROI_(205, 435).png",112,123,123
"ROI_(1383, 732).png",60,70,72
"ROI_(879, 530).png",119,132,129
"ROI_(372, 660).png",169,184,154
